Date,PPI(Base 2018)
2006-01-01,79.7529538131042
2006-02-01,80.75067024128685
2006-03-01,80.85561497326202
2006-04-01,81.09691160809372
2006-05-01,81.06666666666666
2006-06-01,81.21019108280254
2006-07-01,81.41263940520446
2006-08-01,81.63481953290871
2006-09-01,82.04038257173221
2006-10-01,82.72921108742004
2006-11-01,83.41384863123993
2006-12-01,86.3036303630363
2007-01-01,85.71428571428572
2007-02-01,85.63002680965147
2007-03-01,85.56149732620321
2007-04-01,85.19701810436634
2007-05-01,86.18666666666667
2007-06-01,86.57112526539278
2007-07-01,86.45778013807754
2007-08-01,86.41188959660298
2007-09-01,87.08820403825717
2007-10-01,87.15351812366738
2007-11-01,87.06387546967255
2007-12-01,89.49394939493949
2008-01-01,90.92373791621912
2008-02-01,91.63538873994639
2008-03-01,92.45989304812835
2008-04-01,93.1842385516507
2008-05-01,93.81333333333333
2008-06-01,95.32908704883226
2008-07-01,95.59214020180562
2008-08-01,95.85987261146497
2008-09-01,95.37725823591924
2008-10-01,95.46908315565032
2008-11-01,96.56468062265164
2008-12-01,98.12981298129813
2009-01-01,93.39419978517724
2009-02-01,92.92225201072387
2009-03-01,91.71122994652407
2009-04-01,91.37380191693289
2009-05-01,91.2
2009-06-01,90.97664543524417
2009-07-01,91.34360063728093
2009-08-01,91.4012738853503
2009-09-01,91.71094580233795
2009-10-01,92.53731343283582
2009-11-01,92.7536231884058
2009-12-01,94.7194719471947
2010-01-01,92.21267454350162
2010-02-01,92.27882037533512
2010-03-01,92.83422459893048
2010-04-01,92.54526091586794
2010-05-01,92.10666666666665
2010-06-01,92.51592356687898
2010-07-01,92.93680297397769
2010-08-01,93.73673036093417
2010-09-01,93.09245483528161
2010-10-01,94.61620469083157
2010-11-01,96.02791196994094
2010-12-01,98.95489548954896
2011-01-01,99.51664876476907
2011-02-01,99.73190348525469
2011-03-01,100.4812834224599
2011-04-01,101.22470713525024
2011-05-01,102.02666666666667
2011-06-01,100.6900212314225
2011-07-01,97.39776951672862
2011-08-01,97.0276008492569
2011-09-01,97.60892667375133
2011-10-01,97.70788912579958
2011-11-01,97.10144927536231
2011-12-01,99.33993399339933
2012-01-01,108.43179377013965
2012-02-01,108.41823056300268
2012-03-01,108.71657754010695
2012-04-01,107.34824281150159
2012-05-01,89.76
2012-06-01,105.73248407643312
2012-07-01,104.40785979819435
2012-08-01,104.24628450106157
2012-09-01,103.08182784272051
2012-10-01,102.3454157782516
2012-11-01,102.8448738593666
2012-12-01,104.07040704070405
2013-01-01,96.72395273899033
2013-02-01,96.40750670241287
2013-03-01,96.20320855614973
2013-04-01,95.36741214057507
2013-05-01,95.78666666666666
2013-06-01,95.48832271762208
2013-07-01,95.91078066914497
2013-08-01,95.75371549893843
2013-09-01,95.7492029755579
2013-10-01,96.42857142857143
2013-11-01,97.85292538915728
2013-12-01,100.88008800880088
2014-01-01,99.46294307196563
2014-02-01,100.32171581769435
2014-03-01,100.4812834224599
2014-04-01,99.89350372736953
2014-05-01,100.74666666666667
2014-06-01,100.84925690021231
2014-07-01,100.6372809346787
2014-08-01,100.7430997876858
2014-09-01,100.26567481402763
2014-10-01,100.69296375266525
2014-11-01,101.18089103596348
2014-12-01,103.9053905390539
2015-01-01,102.41675617615466
2015-02-01,101.71581769436997
2015-03-01,101.28342245989306
2015-04-01,100.95846645367412
2015-05-01,100.90666666666665
2015-06-01,100.84925690021231
2015-07-01,100.90281465746149
2015-08-01,100.37154989384287
2015-09-01,100.10626992561107
2015-10-01,100.47974413646055
2015-11-01,101.8250134192163
2015-12-01,104.45544554455446
2016-01-01,101.77228786251342
2016-02-01,102.03753351206434
2016-03-01,101.8716577540107
2016-04-01,102.02342917997869
2016-05-01,102.45333333333333
2016-06-01,102.28237791932058
2016-07-01,102.44291024960171
2016-08-01,102.54777070063695
2016-09-01,102.60361317747078
2016-10-01,102.82515991471215
2016-11-01,103.38164251207729
2016-12-01,106.43564356435643
2017-01-01,104.88721804511279
2017-02-01,104.07506702412867
2017-03-01,103.58288770053474
2017-04-01,102.6091586794462
2017-05-01,102.82666666666667
2017-06-01,102.38853503184713
2017-07-01,102.65533722782794
2017-08-01,102.17622080679405
2017-09-01,102.01912858661
2017-10-01,100.21321961620468
2017-11-01,100.1610305958132
2017-12-01,102.75027502750275
2018-01-01,98.69
2018-02-01,99.05
2018-03-01,99.66
2018-04-01,99.97
2018-05-01,99.92
2018-06-01,100.56
2018-07-01,100.63
2018-08-01,100.78
2018-09-01,100.7
2018-10-01,100.31
2018-11-01,99.67
2018-12-01,99.56
2019-01-01,99.8
2019-02-01,99.09
2019-03-01,98.98
2019-04-01,98.71
2019-05-01,98.39
2019-06-01,98.56
2019-07-01,98.62
2019-08-01,97.95
2019-09-01,97.38
2019-10-01,96.85
2019-11-01,97.0
2019-12-01,97.32
2020-01-01,97.41
2020-02-01,97.52
2020-03-01,97.93
2020-04-01,98.16
2020-05-01,97.98
2020-06-01,97.86
2020-07-01,97.69
2020-08-01,97.74
2020-09-01,97.18
2020-10-01,97.84
2020-11-01,98.1
2020-12-01,99.1
2021-01-01,97.13
2021-02-01,97.37
2021-03-01,97.47
2021-04-01,97.47
2021-05-01,97.95
2021-06-01,98.32
2021-07-01,98.92
2021-08-01,99.68
2021-09-01,99.78
2021-10-01,100.08
2021-11-01,100.62
2021-12-01,101.27
2022-01-01,102.96
2022-02-01,103.86
2022-03-01,104.87
2022-04-01,106.16
2022-05-01,107.33
2022-06-01,108.43
2022-07-01,109.47
2022-08-01,108.85
2022-09-01,108.97
2022-10-01,110.05
2022-11-01,109.12
2022-12-01,109.66
2023-01-01,110.46
2023-02-01,110.65
2023-03-01,111.08
2023-04-01,110.91
2023-05-01,110.77
2023-06-01,110.82
2023-07-01,110.84
2023-08-01,110.91
2023-09-01,110.2
2023-10-01,110.22
2023-11-01,110.18
2023-12-01,111.02
2024-01-01,111.53
2024-02-01,111.39
2024-03-01,111.63
2024-04-01,111.45
2024-05-01,111.64
2024-06-01,111.81
2024-07-01,111.88
2024-08-01,111.74
2024-09-01,111.72
2024-10-01,112.08
2024-11-01,112.78
2024-12-01,112.95
2025-01-01,111.42
